datasets,algorithm,accuracy,f1,precision,recall,roc_auc,ASR
amazon_feature,lr,0.9738384261197154,0.7401247401247402,0.967391304347826,0.5993265993265994,0.798994,40.06734006734006
amazon_feature,dt,0.9688154039347007,0.7689922480620156,0.7126436781609196,0.835016835016835,0.90635,16.498316498316502
amazon_feature,rf,0.9834658853076601,0.8581687612208257,0.9192307692307692,0.8047138047138047,0.900014,19.52861952861953
amazon_feature,mlp_torch,0.9763499372122227,0.7762376237623763,0.9423076923076923,0.6599326599326599,0.828627,34.00673400673401
