attack,M-TBA,AM-TBA
lr,0.425369,0.0213231
mlp,0.63368,0.196829
xgboost,0.825588,0.819574
lightgbm,0.917988,0.868234
hmm,0.427556,0.336249
Hard-voting,0.851285,0.715145
Soft-voting,0.857299,0.667578
BayesEns,0.971022,0.8494
