datasets,algorithm,accuracy,f1,precision,recall,detection_rate
contagiopdf,lr,0.9792349726775956,0.9771359807460891,0.9759615384615384,0.9783132530120482,0.9783132530120482
contagiopdf,knn,0.9901639344262295,0.989090909090909,0.9951219512195122,0.983132530120482,0.983132530120482
contagiopdf,dt,0.9770491803278688,0.9744525547445255,0.984029484029484,0.9650602409638555,0.9650602409638555
contagiopdf,nb,0.8377049180327869,0.8463528194516295,0.7416137805983681,0.9855421686746988,0.9855421686746988
contagiopdf,svm,0.9765027322404372,0.9742360695026961,0.9690107270560191,0.9795180722891567,0.9795180722891567
contagiopdf,mlp_keras,0.9841530054644809,0.982262996941896,0.9975155279503105,0.9674698795180723,0.9674698795180723
