datasets,algorithm,accuracy,f1,precision,recall,detection_rate
contagiopdf,lr,0.9808743169398907,0.9786194257788636,0.9925650557620818,0.9650602409638555,0.9650602409638555
contagiopdf,knn,0.9792349726775956,0.9766871165644172,0.995,0.9590361445783132,0.9590361445783132
contagiopdf,dt,0.9497267759562842,0.9434194341943419,0.9635678391959799,0.9240963855421687,0.9240963855421687
contagiopdf,nb,0.9371584699453552,0.9257585539057457,0.9972183588317107,0.863855421686747,0.863855421686747
contagiopdf,svm,0.9819672131147541,0.9800362976406534,0.9842041312272175,0.9759036144578314,0.9759036144578314
contagiopdf,mlp_keras,0.9819672131147541,0.9798411728772145,0.9938042131350682,0.9662650602409638,0.9662650602409638
