gca,0.01,5,10,15
iSwift,0.868333333, 0.827333333, 0.828869048, 0.831666667
Apriori,0.02293194, 0.027650587, 0.044820106, 0.024675852
Adtributor,0.269666667, 0.257, 0.225, 0.183333333
iDice,0.402, 0.275238095, 0.260119048, 0.243809524
Squeeze,0.483125, 0.272, 0.206666667, 0.154761905

