gca,0.001-0.01,0.01-0.1,0.1-1,1-10,10-100
iSwift,0.878,0.956,0.8611,0.849323, 0.872
Apriori,0.1259,0.0771,0.0302,0.03643,0.0243
Adtributor,0.01,0.01,0.127777778,0.294666667, 0.362222222
iDice,0.196,0.192,0.268,0.406, 0.29
Squeeze,0.090909091, 0.098039216, 0.166666667, 0.32 ,0.328431373

