attack,LR,SVM,MLP,DT,RF,Xgb.,LGBM.,Cat.,DF.,kNN,HMM,Ens.
FGSM-LR,7.4148296593186345,91.18236472945893,90.91516366065464,56.91382765531062,6.746826987307952,86.97394789579157,87.24114896459587,0.2672010688042792,9.886439545758183,3.674014696058781,11.890447561790252,47.294589178356716
PGD-LR,4.676018704074814,75.28390113560454,56.64662658650635,48.964595858383426,7.1476285905143655,86.97394789579157,87.04074816299264,0.06680026720107257,9.218436873747493,3.5404141616566465,12.692050768203078,44.15497661990649
FGSM-SVM,6.546426185704746,92.18436873747495,91.91716766867069,21.242484969939877,10.754843019372073,73.2130928523714,87.30794923179693,0.33400133600534065,15.4308617234469,4.542418169672679,12.358049432197726,13.894455577822304
PGD-SVM,4.8764195056780215,76.55310621242484,77.48830995323979,14.362057448229793,13.426853707414832,73.34669338677355,87.04074816299264,0.06680026720107257,33.66733466933868,4.475617902471607,12.692050768203078,9.552438209752834
FGSM-MLP,9.4188376753507,81.09552438209751,85.10354041416166,21.242484969939877,11.957247828991315,72.67869071476288,72.87909151636606,0.5344021376085473,18.77087508350034,9.819639278557114,12.491649966599873,16.499665998663993
PGD-MLP,12.224448897795591,83.03273213092852,85.23714094856379,20.44088176352705,13.426853707414832,73.34669338677355,72.67869071476288,0.4008016032064132,51.70340681362726,11.356045424181694,12.692050768203078,18.370073480293925
DT,11.356045424181694,11.957247828991315,10.420841683366733,99.93319973279893,0.0,1.7368069472277867,12.758851035404145,0.0,0.0,0.8016032064128265,12.758851035404145,0.7348029392117539
