datasets,algorithm,accuracy,f1,precision,recall,roc_auc
ctu13,lr,0.934136546184739,0.9428571428571428,0.9854333576110706,0.9038076152304609,0.9418333141610511
ctu13,svm,0.5686746987951807,0.45148110316649637,0.9587852494577006,0.2952571810287241,0.6380616217328918
ctu13,mlp_keras,0.572289156626506,0.44961240310077527,0.9931506849315068,0.2905811623246493,0.6437800071441978
ctu13,dt,0.7032128514056225,0.6734423331860361,0.9947780678851175,0.5090180360721442,0.7524949193452362
ctu13,hard,0.8473895582329317,0.8568198944988696,0.982713915298185,0.7595190380761523,0.8696890255838969
ctu13,soft,0.6393574297188755,0.5727878211227402,0.9950413223140496,0.4021376085504342,0.6995582302570903
ctu13,bayes_ensemble,0.934136546184739,0.9428571428571428,0.9854333576110706,0.9038076152304609,0.9418333141610511
