x0,x1,x2,x3,target
0.5181616293501831,0.33773918145597553,0.4975573642693777,0.10806259756886985,0.0
0.6860739512525746,0.6097735642432432,0.720703880838977,0.8133808354012615,0.0
0.07439778139007187,0.2878368856071057,0.14886476685177708,0.789203228681977,0.0013360053440213404
0.5855275183581736,0.9094506951742178,0.05808142171239161,0.4825606831147145,0.0
0.5833477332372367,0.9514335508844303,0.8265925676960666,0.14237136977749804,0.0
0.25,0.25,0.25,0.25,0.0
0.041401266206129446,0.2632952211509204,0.12708959838493336,0.914215108753966,0.0013360053440213404
0.11662195237095792,0.3101406846886941,0.13104712374815147,0.7721763074633328,0.0013360053440213404
0.21729914911741238,0.4404891660794337,0.0572355005240881,0.7360758890809698,0.0006680026720107257
0.049113101256451894,0.30088936355377655,0.4760375866422909,0.5914712405377601,0.0006680026720107257
0.2545681943194383,0.01590880441878794,0.09337726743592498,0.8802191514099881,0.0013360053440213404
0.20995668551561253,0.8587452490555452,0.47117602908199957,0.48556997309666683,0.0006680026720107257
0.7235696356339418,0.37030408808524856,0.25712449573785395,0.6032329963308163,0.0013360053440213404
0.8389864681632068,0.01310192161765787,0.9527030843913536,0.9244730065034754,0.0013360053440213404
0.9861830558636965,0.7776746369684071,0.02654646004379682,0.03849357410903945,0.0006680026720107257
0.5938033273411765,0.557932783498468,0.7597056273029532,0.5540180950883008,0.0006680026720107257
0.057215741791424725,0.22136145214596037,0.11448470509321584,0.606938100969399,0.0006680026720107257
0.519755389833315,0.13415557369915473,0.5132405780567221,0.7058111897670187,0.0013360053440213404
0.7219807025508801,0.3763977390601941,0.20810607041403817,0.5543642845248573,0.0013360053440213404
0.9494562488019079,0.01,0.35081813178522947,0.7703063955191959,0.0013360053440213404
0.7860255155418414,0.2275318049184641,0.01,0.99,0.0013360053440213404
0.24192746405619467,0.01,0.99,0.99,0.0006680026720107257
