x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,target
0.0444941638198803,0.679235143386934,0.2780187425076331,0.936082702298752,0.35699983635632493,0.37757724609224635,0.606430181345319,0.5984879339070174,0.02381807891498787,0.40009763112331154,0.6040045983959782,0.7955911823647295
0.4423550586191211,0.14885120207977354,0.1750074782631972,0.09360263879742388,0.8512482263713493,0.8864830818985446,0.3708214557337451,0.2777068227671459,0.7573805947153625,0.046928921050839144,0.2847274861244255,0.811623246492986
0.8797238914257773,0.5934736647299698,0.37335664070579383,0.34992530288640283,0.6412488148635735,0.13497158927817526,0.6147326917986065,0.39989873984471275,0.784659566028689,0.8883062751445494,0.8549749948451946,0.8977955911823647
0.673680821245194,0.886224994115255,0.9165338331560465,0.9452051442571036,0.36340067986059693,0.5948181076985889,0.6784885023643901,0.08146725773589895,0.3006516024738141,0.563255180281411,0.3567950408156872,0.7147628590514362
0.6102323761571578,0.8136829184141173,0.8180218810941252,0.15139601529684288,0.06623453772120842,0.6183089593770369,0.11608934760786967,0.8501716872039197,0.553877573567307,0.5810219908279666,0.2948817746260869,0.8343353373413493
0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.8350033400133601
0.5872263987779445,0.6417896968678681,0.4054302134546628,0.5326975660195762,0.7911624506453815,0.19329338149164577,0.6008387347722792,0.4852191040035123,0.6906526706976107,0.8702993750058798,0.8355203831139207,0.8931195724782899
0.6863596027023936,0.5823803839030265,0.21547558522458873,0.20211338834761627,0.9625569858335947,0.01,0.5101267259041501,0.774239673080981,0.99,0.99,0.99,0.9044756179024717
0.99,0.01,0.01,0.8220235227878336,0.99,0.01,0.99,0.7697796872922092,0.99,0.99,0.99,0.8997995991983968
0.99,0.16009225976980837,0.01,0.01,0.99,0.01,0.99,0.99,0.04012338914362879,0.99,0.99,0.9238476953907816
0.99,0.01,0.01,0.45851910253304173,0.99,0.01,0.01,0.99,0.01,0.99,0.99,0.9338677354709419
0.8295291056447327,0.9039801524214337,0.6130889544797044,0.11933282442080832,0.128833483455169,0.010297585915022276,0.28869056507631363,0.2977913368466739,0.46234266581329925,0.40388192518403115,0.05752729678864702,0.8016032064128257
0.41835694009535423,0.10728964154801653,0.5278185629718118,0.17198454804482843,0.32857307120178053,0.9263997444730657,0.9120547045601827,0.2321400472851211,0.5021575457362243,0.3570725154911592,0.7343544122629403,0.7808951235804943
0.7196243843066319,0.25500913158512756,0.7411138170920563,0.04312068495706522,0.6410838043404704,0.5456031448957162,0.37750465643383146,0.7000217673749907,0.9124311893256891,0.7736467942458548,0.25743144815279084,0.9098196392785571
0.15108204377107415,0.7466607225518848,0.060840312760587725,0.29325144153547605,0.43180760437593396,0.44534275979972093,0.7619853082970153,0.6440302151878725,0.5840381561477671,0.43727244166986456,0.6486848998636042,0.8336673346693386
0.6000864584531609,0.19452775163676697,0.8776607370950305,0.32201112384292085,0.8369314547086352,0.21004780996225608,0.0240136929405033,0.534374271005523,0.3793373535299659,0.41404601185394796,0.18224055338002923,0.875751503006012
0.1813678731179282,0.001831998718362911,0.001831998718362911,0.08400064081854447,0.1813678731179282,0.001831998718362911,0.001831998718362911,0.1813678731179282,0.001831998718362911,0.1813678731179282,0.1813678731179282,0.9278557114228457
0.07630036584614397,0.01,0.060384621774835695,0.18933297263884577,0.11244444765814621,0.010242273809652848,0.01,0.16255641926766676,0.19601934625074516,0.19457042137691252,0.027430920977953622,0.8790915163660654
0.8147394613893717,0.021079914058019712,0.7168124448931893,0.953703945739056,0.36034970178491543,0.13268978043835108,0.6615742671309757,0.3473811828213604,0.5470151718699009,0.25476009000143657,0.12425929254503565,0.7969271877087508
0.6656078499410505,0.17592347584486262,0.8399220399890834,0.07662491494161476,0.8401954173173657,0.438195020105849,0.13356199761532078,0.7252270000986271,0.7555482603423237,0.7135014866831317,0.20942856843439303,0.9051436205744823
0.28922708283982557,0.01,0.01,0.01,0.5143414967901403,0.01,0.01,0.24802682234437076,0.01,0.0969752463317889,0.5248008186835331,0.9238476953907816
0.2941895074730951,0.01,0.01,0.01,0.403792109581653,0.01,0.01,0.5559337578740831,0.01,0.7603784102824502,0.3758003505020802,0.9291917167668671
0.4766936434640884,0.6924507078499771,0.8162805506492616,0.18654879464305993,0.40740079212691116,0.42748143626500124,0.9638101129132699,0.546469381101635,0.33794448215823414,0.08075631160150126,0.9103706156872489,0.7428189712758851
