attack,LR,SVM,MLP,DT,RF,Xgb.,LGBM.,Cat.,DF.,kNN,HMM,Ens.
FGSM-LR,89.14893617021276,88.51063829787233,93.08510638297872,40.85106382978724,13.72340425531915,7.5531914893617,12.553191489361705,12.978723404255321,8.936170212765957,9.999999999999998,18.19148936170213,9.468085106382985
PGD-LR,90.3191489361702,88.51063829787233,81.91489361702128,41.38297872340425,11.063829787234047,7.8723404255319105,11.59574468085106,12.446808510638295,7.340425531914897,9.89361702127659,16.702127659574472,8.617021276595748
FGSM-SVM,88.29787234042553,87.65957446808511,92.34042553191489,38.82978723404256,14.787234042553186,2.765957446808509,7.765957446808512,13.72340425531915,7.340425531914897,11.914893617021267,18.72340425531916,9.574468085106382
PGD-SVM,89.46808510638296,87.65957446808511,80.95744680851064,39.36170212765957,10.957446808510639,3.1914893617021267,7.8723404255319105,12.127659574468089,6.595744680851067,11.063829787234047,17.021276595744688,7.5531914893617
FGSM-MLP,97.76595744680851,99.6808510638298,99.25531914893615,83.82978723404256,25.85106382978724,7.8723404255319105,4.787234042553191,13.297872340425535,11.27659574468085,15.000000000000002,87.97872340425532,30.106382978723396
PGD-MLP,92.97872340425532,99.36170212765957,95.74468085106385,83.82978723404256,20.0,4.893617021276596,3.8297872340425587,11.702127659574465,8.617021276595748,12.021276595744679,17.659574468085104,14.680851063829794
DT,18.936170212765962,18.829787234042552,6.914893617021277,68.08510638297872,15.638297872340429,10.106382978723405,6.808510638297872,3.723404255319152,6.3829787234042525,9.361702127659576,16.48936170212766,5.7446808510638325
