datasets,algorithm,accuracy,f1,precision,recall,roc_auc
datacon,lr,0.7956290608387477,0.8399629972247917,0.7430441898527005,0.9659574468085106,0.7744793874148794
datacon,svm,0.7926757235676314,0.8384721583064887,0.7388483373884833,0.9691489361702128,0.7707630471023706
datacon,mlp_keras,0.8269344359125812,0.8646651270207852,0.7640816326530612,0.9957446808510638,0.8059732700404058
datacon,dt,0.9125812167749557,0.926073926073926,0.8728813559322034,0.9861702127659574,0.9034436721200304
datacon,hard,0.7932663910218547,0.8423423423423423,0.73046875,0.9946808510638298,0.7682567601932695
datacon,soft,0.8907265209686946,0.9095354523227384,0.8416289592760181,0.9893617021276596,0.8784789918340822
datacon,bayes_ensemble,0.9125812167749557,0.926073926073926,0.8728813559322034,0.9861702127659574,0.9034436721200304
