datasets,algorithm,accuracy,f1,precision,recall,roc_auc
cicandmal2017-spl,lr,0.20016750418760468,0.33170048985304407,0.45576923076923076,0.2607260726072607,0.13387180823345493
cicandmal2017-spl,svm,0.19430485762144054,0.3215796897038082,0.44793713163064836,0.2508250825082508,0.13243008511377455
cicandmal2017-spl,mlp_keras,0.22529313232830822,0.33881343817012155,0.48367346938775513,0.2607260726072607,0.18650338718082335
cicandmal2017-spl,dt,0.6541038525963149,0.7603017991874638,0.8046683046683046,0.7205720572057206,0.5813386601818077
cicandmal2017-spl,rf,0.6457286432160804,0.758147512864494,0.7892857142857143,0.7293729372937293,0.554160152857391
cicandmal2017-spl,xgboost,0.4455611390284757,0.5684485006518906,0.6976,0.47964796479647964,0.4082450350298188
cicandmal2017-spl,lightgbm,0.3417085427135678,0.4503496503496503,0.6180422264875239,0.3542354235423542,0.32799490475363324
cicandmal2017-spl,catboost,0.7085427135678392,0.8191268191268191,0.7763546798029557,0.8668866886688669,0.5351977302993457
cicandmal2017-spl,deepforest,0.7839195979899497,0.8689024390243901,0.8073654390934845,0.9405940594059405,0.612402292860865
cicandmal2017-spl,knn,0.6624790619765494,0.7777164920022063,0.7798672566371682,0.7755775577557755,0.5386659718603439
cicandmal2017-spl,hmm,0.2102177554438861,0.2817974105102818,0.45792079207920794,0.20352035203520352,0.21754964970181231
cicandmal2017-spl,hard,0.3098827470686767,0.4332874828060523,0.5779816513761468,0.3465346534653465,0.2697585548028487
cicandmal2017-spl,soft,0.5301507537688442,0.6762839007501443,0.7111650485436893,0.6446644664466447,0.4047883735741995
cicandmal2017-spl,stacking,0.8484087102177554,0.9067490984028851,0.8527131782945736,0.9680968096809681,0.7173817381738175
cicandmal2017-spl,bayes_ensemble,0.7412060301507538,0.8376248029427219,0.8018108651911469,0.8767876787678768,0.5927798042962191
