datasets,algorithm,accuracy,f1,precision,recall,roc_auc,ASR
cicandmal2017,lr_torch,0.7639179573043114,0.8656182987848464,0.7650031585596968,0.9967078189300411,0.505856,0.3292181069958877
cicandmal2017,svm,0.7645458350774382,0.8659916617033948,0.7652631578947369,0.9972565157750343,0.506572,0.2743484224965731
cicandmal2017,dt,0.7245709501883634,0.8187327823691459,0.8221300138312586,0.8153635116598079,0.623922,18.46364883401921
cicandmal2017,mlp_torch,0.7628714943491001,0.8654873560489138,0.7628714943491001,1.0,0.5,0.0
cicandmal2017,rf,0.7835914608622855,0.8641261498028909,0.8292559899117277,0.9020576131687242,0.652264,9.794238683127576
cicandmal2017,adaboost,0.7628714943491001,0.8654873560489138,0.7628714943491001,1.0,0.5,0.0
cicandmal2017,xgboost,0.7940560904143993,0.8744257274119449,0.8174659985683608,0.939917695473251,0.63236,6.008230452674901
cicandmal2017,stacking_ensemble,0.7969861866889912,0.8779567186713639,0.8108296537299559,0.9572016460905349,0.619378,4.2798353909465074
cicandmal2017,bayes_ensemble,0.7678945165341147,0.8676768881994988,0.7677364864864865,0.9975308641975309,0.513329,0.24691358024691024
