datasets,algorithm,accuracy,f1,precision,recall,roc_auc,ASR
cicandmal2017,lr_torch,0.03634826711749789,0.04362416107382551,0.02276707530647986,0.52,0.267502,48.0
cicandmal2017,svm,0.04395604395604396,0.0567139282735613,0.02959094865100087,0.68,0.347944,31.999999999999996
cicandmal2017,dt,0.43956043956043955,0.08298755186721993,0.04457652303120357,0.6,0.51624,40.0
cicandmal2017,mlp_torch,0.042265426880811495,0.08110300081103,0.042265426880811495,1.0,0.5,0.0
cicandmal2017,rf,0.4065934065934066,0.06648936170212766,0.03561253561253561,0.5,0.451236,50.0
cicandmal2017,adaboost,0.042265426880811495,0.08110300081103,0.042265426880811495,1.0,0.5,0.0
cicandmal2017,xgboost,0.3364327979712595,0.07100591715976332,0.03773584905660377,0.6,0.462401,40.0
cicandmal2017,stacking_ensemble,0.2781065088757396,0.022883295194508012,0.012135922330097087,0.2,0.240777,80.0
cicandmal2017,bayes_ensemble,0.06846999154691462,0.08013355592654424,0.041811846689895474,0.96,0.494563,4.0000000000000036
