datasets,algorithm,accuracy,f1,precision,recall,roc_auc,ASR
kitsune,rf,0.99475,0.9945666235446313,0.999479979199168,0.9897013388259527,0.994608,1.0298661174047319
kitsune,xgboost,0.99825,0.9981963411491884,0.998968540484786,0.9974253347064882,0.998227,0.2574665293511802
kitsune,rnn_torch,0.915,0.907103825136612,0.9662398137369034,0.854788877445932,0.913303,14.521112255406798
kitsune,lstm_torch,0.91925,0.9104518990851121,0.9861861861861861,0.8455200823892894,0.917172,15.447991761071055
kitsune,mlp_torch,0.87525,0.8536227632736872,0.9918200408997955,0.7492276004119465,0.871698,25.077239958805354
kitsune,alertnet_torch,0.92,0.9157451290152712,0.9369612068965517,0.8954685890834192,0.919309,10.45314109165808
kitsune,idsnet_torch,0.91275,0.9061575692390427,0.9482273494653911,0.8676622039134912,0.911479,13.233779608650876
kitsune,deepnet_torch,0.524,0.03838383838383838,1.0,0.01956745623069001,0.509784,98.043254376931
