datasets,algorithm,accuracy,f1,precision,recall,roc_auc
bodmas,lr,0.9628252788104089,0.9558823529411765,0.9365994236311239,0.975975975975976,0.9647812369331357
bodmas,xgboost,0.9851301115241635,0.982089552238806,0.9762611275964391,0.987987987987988,0.9855551754285932
bodmas,hard_ensemble,0.9368029739776952,0.9248895434462445,0.9075144508670521,0.9429429429429429,0.937716197209868
bodmas,soft_ensemble,0.9578686493184635,0.948948948948949,0.948948948948949,0.948948948948949,0.9565419850229976
bodmas,stacking_ensemble,0.9739776951672863,0.968609865470852,0.9642857142857143,0.972972972972973,0.9738282586383853
